"Morphotype","Slide.number.info","Z1","Z2","A1","A2","A3","A4","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","G2","G3","G4","G5","G6","G7","G8","H1","H2","H3","H4","I1","I2","I3","I4","J1","J2","J3","J4","K1","L1","L2","M1","M2","X","Z1.1","Z2.1","A1.1","A2.1","A3.1","A4.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","D2.1","E1.1","E2.1","E3.1","E4.1","E5.1","E6.1","E7.1","E8.1","E9.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","G2.1","G3.1","G4.1","G5.1","G6.1","G7.1","G8.1","H1.1","H2.1","H3.1","H4.1","I1.1","I2.1","I3.1","I4.1","J1.1","J2.1","J3.1","J4.1","K1.1","L1.1","L2.1","M1.1","M2.1","MDS1","MDS2","MDS3"
"Medium curl-curved triangle",75,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.2.Curl-curve","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,3,1,1,1,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,2,1,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,2,1,0,1,0,0,1,1,-0.0770891689148254,0.0132339248569967,0.0634381806656158
"Convex triangle full convex root",76,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.1.Side-curve","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,2,1,3,4,4,1,1,0,1,3,4,4,1,1,0,1,0,0,0,0,0,0,0,6,2,3,0,1,0,0,2,1,-0.163216782203692,0.0776524203162167,-0.0650648549789908
"Curved triangle 3/4 concave root",77,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.1.Side-curve","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.2.Concave","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,1,1,1,0,3,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,2,2,0,1,0,0,1,1,-0.151246375886413,0.0462123922307896,0.0361613407380679
"Curl curved 1/2 total root triangle",78,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.3.Multi-curve","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.4.(3/4)","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.4.(3/4)","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,2,1,3,1,2,1,0,0,0,0,0,0,0,0,2,2,3,4,1,1,1,0,2,3,4,1,1,1,0,1,0,0,0,0,0,0,0,4,4,7,0,1,0,0,1,1,-0.12729772827204,-0.0563107498307804,-0.0747653968616225
"Inner blade tucked base cone",79,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.1.Side-curve","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.4.Single","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.4.Bottom-heavy (flared)","F6.3.Inner-curve or short edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.3.Tucked","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,2,1,1,1,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,4,1,4,5,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,7,0,3,0,0,1,1,-0.100399670195469,0.194639940760066,-0.0277624176972307
"Asymmetrical flared triangle",80,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.2.Mid-depth","A3.1.Triangle","A4.2.Concave","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.4.Cone-curve","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.3.Asymmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.2.Outer-curve or long edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.3.Middle-heavy","G6.3.Inner-curve or short edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.1.Thin","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.6.Asymmetrical","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,2,1,2,1,0,0,2,1,4,1,2,1,0,0,0,0,0,0,0,0,3,1,4,5,1,2,1,0,1,4,5,3,3,1,0,1,0,0,0,0,0,0,0,6,1,3,0,6,0,0,2,1,-0.148683445801901,0.0831138205374901,0.208672343097424
"1/4 straight root",81,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.2.(1/4)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,4,5,1,1,1,0,2,4,5,1,1,1,0,1,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,1,-0.170894093595489,-0.0296462185290244,-0.00437787665532125
"Elongated 1/2 straight root",83,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,3,4,4,1,1,0,2,3,4,4,1,1,0,1,0,0,0,0,0,0,0,4,2,1,0,1,0,0,1,1,-0.153513537181061,0.0158536402174102,-0.0945306362903725
"flat 1/2 straight root flared blades",85,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.3.Asymmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,3,4,5,4,1,1,0,3,3,4,4,1,1,0,1,0,0,0,0,0,0,0,4,2,1,0,1,0,0,1,1,-0.15766075301186,0.0533945190872585,-0.090342418457114
"Long 3/4 straight root",86,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,3,4,4,1,1,0,3,3,4,4,1,1,0,1,0,0,0,0,0,0,0,5,2,1,0,1,0,0,1,1,-0.156903660107323,0.0449424290606007,-0.0977439932484524
"Long 3/4 straight root straight blades",89,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.3.Wide","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.5.Pointed","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,1,1,1,0,3,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,3,1,0,5,0,0,1,1,-0.215158098109198,0.026879744312211,0.0468602931660654
"3/4 rounded root",90,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.4.Full-length","F4.5.Full-length","F5.3.Middle-heavy","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.4.Full-length","G4.5.Full-length","G5.3.Middle-heavy","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,3,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,4,5,3,1,1,0,2,4,5,3,1,1,0,1,0,0,0,0,0,0,0,5,2,1,0,1,0,0,2,1,-0.138173214120826,0.0262071411894062,0.027658484165015
"full straight root",91,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,3,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,1,1,1,0,3,4,5,1,1,1,0,1,0,0,0,0,0,0,0,6,2,1,0,1,0,0,1,1,-0.169341221095516,0.0393760712621786,0.0230641383797587
"Deep full straight root",94,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.3.Asymmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,3,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,1,4,5,1,1,1,0,1,3,4,4,1,1,0,1,0,0,0,0,0,0,0,6,2,1,0,1,0,0,2,1,-0.13414401865538,0.0716413254155958,0.0371893639956537
"Full root flared blades",95,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.3.Long","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.4.Total","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,3,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,3,4,4,1,1,0,2,3,4,4,1,1,0,1,0,0,0,0,0,0,0,6,4,1,0,1,0,0,2,1,-0.168884020418122,0.0493362262628349,-0.0753916730757213
